,name,ID,region,lat,lon,WGMS_ID,RGI_ID,status,remark
0,Allalin,4,6,46.05,7.93,394.0,RGI50-11.02715,True,
1,Alpeiner,5,6,47.05,11.13,497.0,RGI50-11.00376,True,
2,Argentiere,7,6,45.97,6.93,354.0,RGI50-11.02835,True,
3,Arolla,8,6,45.98,7.5,377.0,RGI50-11.02808,False,unclear which glacier is meant: probably bas (due to area)
4,Bachfall,13,6,47.08,11.08,500.0,RGI50-11.00325,True,
5,Basodino,384,6,46.42,8.47,463.0,RGI50-11.01987,True,
6,Berglas,15,6,47.07,11.12,496.0,RGI50-11.00343,True,
7,Blanc,17,6,44.95,6.22,351.0,,False,wrong Leclercq position;WGMS okay
8,Bluemlisalp,19,6,46.5,7.77,436.0,RGI50-11.01621,True,
9,Bossons,23,6,45.87,6.78,355.0,RGI50-11.03067,True,
10,Brunni,27,6,46.73,8.78,427.0,RGI50-11.01120,True,
11,Daunkogel,35,6,47.0,11.1,604.0,RGI50-11.00518,True,
12,Diem,36,6,46.82,10.95,513.0,RGI50-11.00886,True,
13,Dorfer,38,6,47.1,12.33,577.0,RGI50-11.00164,True,Leclercq area seems wrong (6km2)
14,E. Gruebl,40,6,46.98,11.23,597.0,RGI50-11.00577,True,
15,Fee,45,6,46.08,7.88,392.0,RGI50-11.02607,True,areas don't match
16,Fernau,46,6,46.98,11.13,601.0,RGI50-11.00548,True,
17,Ferpecle,47,6,46.02,7.58,379.0,RGI50-11.02728,True,
18,Fiescher,49,6,46.05,8.15,471.0,RGI50-11.01478,True,Leclercq lat false: should be 46.5
19,Forni,51,6,46.4,10.57,670.0,RGI50-11.01974,True,
20,Forno,52,6,46.3,9.7,396.0,RGI50-11.02245,True,
21,Gaissberg,57,6,46.83,11.07,508.0,RGI50-11.00836,True,
22,Gebroulaz,61,6,45.28,6.63,352.0,RGI50-11.03437,True,
23,Gepatsch,62,6,46.85,10.77,522.0,RGI50-11.00746,True,
24,Gorner,64,6,45.97,7.8,391.0,RGI50-11.02848,True,
25,Gr Aletsch,66,6,46.5,8.03,360.0,RGI50-11.01450,True,
26,Gr Gosau,65,6,47.48,13.6,536.0,RGI50-11.00003,True,
27,Gries,68,6,46.43,8.33,359.0,RGI50-11.01876,True,
28,Grosselend,71,6,47.03,13.32,542.0,RGI50-11.00291,True,
29,Gruenau,72,6,46.98,11.2,599.0,,False,unclear if Wilder Freiger Ferner is meant (area)
30,Gurgler,73,6,46.8,10.98,511.0,RGI50-11.00887,True,
31,Hallstaetter,75,6,47.48,13.62,535.0,RGI50-11.00002,True,
32,Hintereis,79,6,46.8,10.77,491.0,RGI50-11.00897,True,
33,Hochjoch,80,6,46.78,10.82,492.0,RGI50-11.00957,True,
34,Horn,81,6,47.0,11.82,589.0,RGI50-11.00459,True,
35,Hufi,82,6,46.82,8.85,426.0,RGI50-11.00872,True,
36,Jamtal,86,6,46.87,10.17,480.0,RGI50-11.00781,True,
37,Karlinger,88,6,47.13,12.7,568.0,RGI50-11.00067,True,
38,Kehlen,89,6,46.68,8.42,431.0,RGI50-11.01193,True,also:Chelenfirn
39,Kesselwand,90,6,46.83,10.8,507.0,RGI50-11.00787,True,
40,Kleinelend,91,6,47.07,13.25,541.0,RGI50-11.00181,True,
41,Krimmler,95,6,47.08,12.25,,,False,"Two/three RGI/WGMS equivalents: RGI50-11.00233 and RGI50-11.00197, WGMS 584, 1309, 2677"
42,La Mare,96,6,46.43,10.6,631.0,RGI50-11.01863,True,
43,Langgletscher,98,6,46.47,7.93,386.0,RGI50-11.01698,True,
44,Langtaler,99,6,46.8,11.02,510.0,RGI50-11.00929,True,
45,Lys,103,6,45.9,7.83,620.0,RGI50-11.02973,True,
46,Mandrone,105,6,46.17,10.53,664.0,RGI50-11.02437,True,
47,Marzell,107,6,46.78,10.88,515.0,RGI50-11.00958,True,
48,Mer de Glace,109,6,45.88,6.93,353.0,RGI50-11.02923,True,
49,Moiry,113,6,46.08,7.6,380.0,RGI50-11.02595,True,
50,Morteratsch,115,6,46.4,9.93,1673.0,RGI50-11.01946,True,
51,Niederjoch,118,6,46.78,10.87,516.0,RGI50-11.00992,True,
52,Ob Grindelwald,123,6,46.62,8.1,444.0,RGI50-11.01270,True,
53,Obersulzbach,124,6,47.12,12.3,583.0,,False,"Three RGI equivalents: RGI50-11.00116,RGI50-11.00141,RGI50-11.00168"
54,Oedenwinkel,125,6,47.12,12.65,559.0,RGI50-11.00124,True,
55,Palue,131,6,46.37,9.98,398.0,RGI50-11.02144,True,
56,Paradies,132,6,46.5,9.07,412.0,,False,"Three RGI equivalents: RGI50-11.01753,RGI50-11.01778,RGI50-11.01746"
57,Pasterze,133,6,47.1,12.7,566.0,RGI50-11.00106,True,
58,Pizol,383,6,46.95,9.38,417.0,RGI50-11.00638,True,
59,Pre de Bard,432,6,45.91,7.04,681.0,RGI50-11.02967,True,
60,Rhone,137,6,46.62,8.4,473.0,RGI50-11.01238,True,
61,Roseg,140,6,46.38,9.83,406.0,RGI50-11.02119,True,
62,Rosenlaui,386,6,46.65,8.15,445.0,RGI50-11.01222,True,
63,Rotmoos,141,6,46.82,11.05,509.0,RGI50-11.00871,True,
64,Saint Sorlin,142,6,45.18,6.17,356.0,RGI50-11.03503,True,
65,Saleina,144,6,45.98,7.07,458.0,RGI50-11.02815,True,
66,Schlaten,148,6,47.12,12.38,580.0,RGI50-11.00135,True,
67,Schwarzenstein,149,6,47.02,11.85,588.0,RGI50-11.00415,True,
68,Simony,150,6,47.07,12.27,575.0,RGI50-11.00264,False,"Possibly also RGI50-11.00220 (belongs to Maurerkees due to KOMPASS maps, but areas would fit better if this (neighbouring) polygon was included)"
69,Stein,159,6,46.7,8.43,448.0,RGI50-11.01144,True,also:Steigletscher
70,Sulzenau,163,6,46.98,11.15,1454.0,RGI50-11.00541,True,
71,Taschach,167,6,46.9,10.87,519.0,RGI50-11.00687,True,
72,Trient,171,6,46.0,7.03,457.0,RGI50-11.02756,True,
73,Tsanfleuron,172,6,46.32,7.23,371.0,RGI50-11.02249,True,
74,Tsidjore Nouve,176,6,46.0,7.45,376.0,RGI50-11.02771,True,
75,Turtmann,179,6,46.13,7.68,385.0,RGI50-11.02490,True,
76,U Grindelwald,181,6,46.58,8.07,443.0,RGI50-11.01346,True,
77,Umbal,182,6,47.05,12.25,574.0,RGI50-11.00278,True,
78,Unteraar,183,6,46.57,8.22,450.0,RGI50-11.01328,True,
79,Untersulzbach,184,6,47.13,12.35,582.0,RGI50-11.00068,True,
80,Valsorey,185,6,45.9,7.27,365.0,RGI50-11.02979,True,
81,Ventina,187,6,46.27,9.77,629.0,RGI50-11.02351,True,
82,Verstancla,385,6,46.84,10.07,409.0,RGI50-11.00848,True,
83,Viltragen,189,6,47.13,12.37,581.0,RGI50-11.00110,True,
84,Waxegg,190,6,47.0,11.8,590.0,RGI50-11.00469,True,
85,Wurten,193,6,47.03,13.0,,RGI50-11.00300,False,"Two WGMS equivalents (same lat/lon, but one time 'westl. wurten kees'): 2682.0 and 545.0"
86,Zettalunitz,195,6,47.08,12.38,578.0,RGI50-11.00190,True,
87,Zinal,196,6,46.07,7.63,382.0,RGI50-11.02641,True,
