,POLITICAL_UNIT,NAME,WGMS_ID,LATITUDE,LONGITUDE,GlaThiDa_ID,RGI_ID,Leclercq_ID,remark,status
0,DE,SCHNEEFERNER N,346,47.41,10.97,486.0,RGI50-11.03974,,,True
1,FR,GEBROULAZ,352,45.29,6.62,,RGI50-11.03432,61.0,,True
2,FR,MER DE GLACE,353,45.88,6.93,,RGI50-11.02923,109.0,,True
3,FR,ARGENTIERE,354,45.95,6.98,,RGI50-11.02835,7.0,,True
4,FR,SAINT SORLIN,356,45.16,6.15,,RGI50-11.03503,142.0,,True
5,FR,SARENNES,357,45.13,6.13,,RGI50-11.03515,,,True
6,CH,GRIES,359,46.44,8.33,,RGI50-11.01876,68.0,,True
7,CH,FINDELEN,389,46.0,7.87,94.0,RGI50-11.02789,,completed manually,True
8,CH,SILVRETTA,408,46.85,10.08,354.0,RGI50-11.00804,,,True
9,CH,PIZOL,417,46.97,9.4,362.0,RGI50-11.00638,383.0,,True
10,CH,PLATTALVA,420,46.83,8.98,,RGI50-11.00892,,,True
11,CH,LIMMERN,421,46.82,8.98,,RGI50-11.00918,,,True
12,CH,BASODINO,463,46.42,8.48,,RGI50-11.01987,384.0,,True
13,CH,RHONE,473,46.62,8.4,353.0,RGI50-11.01238,137.0,,True
14,AT,FILLECK K.,476,47.13,12.6,,RGI50-11.00073,,Also: Fuerleggkees,True
15,AT,JAMTAL F.,480,46.87,10.17,274.0,RGI50-11.00781,86.0,,True
16,AT,VERMUNTGL.,482,46.85,10.13,298.0,RGI50-11.00807,,completed manually,True
17,AT,OCHSENTALERGL.,483,46.85,10.1,283.0,RGI50-11.00797,,completed manually,True
18,AT,VERNAGT FERNER,489,46.88,10.82,299.0,RGI50-11.00719,,,True
19,AT,HINTEREIS FERNER,491,46.8,10.77,249.0,RGI50-11.00897,79.0,,True
20,AT,KESSELWAND FERNER,507,46.83,10.79,102.0,RGI50-11.00787,90.0,,True
21,AT,LANGTALER F.,510,46.78,11.01,275.0,RGI50-11.00929,99.0,,True
22,AT,HALLSTAETTER G.,535,47.48,13.62,248.0,RGI50-11.00002,75.0,,True
23,AT,WURTEN K.,545,47.03,13.0,216.0,RGI50-11.00300,,,True
24,AT,KLEINFLEISS K.,547,47.05,12.95,213.0,RGI50-11.00251,,,True
25,AT,PASTERZE,566,47.1,12.7,261.0,RGI50-11.00106,133.0,,True
26,AT,STUBACHER SONNBLICK KEES,573,47.13,12.6,258.0,RGI50-11.00080,,,True
27,AT,ZETTALUNITZ/MULLWITZ K.,578,47.08,12.38,279.0,RGI50-11.00190,195.0,,True
28,IT,CARESER,635,46.45,10.7,,RGI50-11.01834,,,True
29,IT,LUNGA (VEDRETTA) / LANGENF.,661,46.46,10.61,,RGI50-11.01776,,completed manually,True
30,IT,SFORZELLINA,667,46.34,10.51,,RGI50-11.02214,,,True
31,IT,MALAVALLE (VEDR. DI) / UEBELTALF.,672,46.95,11.12,,RGI50-11.00619,,,True
32,IT,PENDENTE (VEDR.) / HANGENDERF.,675,46.96,11.23,,RGI50-11.00603,,,True
33,ES,MALADETA,942,42.65,0.63,,RGI50-11.03818,,,True
34,IT,FONTANA BIANCA / WEISSBRUNNF.,1507,46.48,10.77,,RGI50-11.01704,,,True
35,IT,CALDERONE,1107,42.47,13.62,,RGI50-11.03967,,,True
36,IT,GRAND ETRET,1238,45.47,7.21,,RGI50-11.03298,,,True
37,IT,CIARDONEY,1264,45.51,7.39,,RGI50-11.03254,,,True
38,AT,GOLDBERG K.,1305,47.04,12.97,,RGI50-11.00289,,,True
39,IT,CARESER ORIENTALE,3345,46.45,10.7,,RGI50-11.01834,,Glacier split up in 2005: Still only one RGI polygon: RGI50-11.01834. Old WGMS ID of entire glacier is 365,False
40,IT,CARESER OCCIDENTALE,3346,46.45,10.69,,RGI50-11.01834,,Glacier split up in 2005: Still only one RGI polygon: RGI50-11.01834. Old WGMS ID of entire glacier is 365,False
41,AT,HOCHKOENIG,3993,47.42,13.05,,RGI50-11.00012,,,True
